league,year,position,team,matches,scored,conceded,pts,xG,xGA,pressure,oppo_pressure,xpts,pts_per_game
EPL,2014,1,Chelsea,38,73,32,87,68.64332,31.5243441,10.942027381600568,13.419519874764765,75.3172,2.289473684210526
EPL,2014,2,Manchester City,38,83,38,79,75.81544099999999,40.499403,7.982490329660707,15.076978650180658,73.0982,2.0789473684210527
EPL,2014,3,Arsenal,38,71,36,75,69.80259099999999,35.718825,8.660595632132885,13.254168602983585,75.17399999999999,1.9736842105263157
