league,year,position,team,matches,scored,conceded,pts,xG,xGA,pressure,oppo_pressure,xpts,pts_per_game
EPL,2014,1,Chelsea,38,73,32,87,68.64332,31.5243441,10.942027381600568,13.419519874764765,75.3172,2.289473684210526
EPL,2014,2,Manchester City,38,83,38,79,75.81544099999999,40.499403,7.982490329660707,15.076978650180658,73.0982,2.0789473684210527
EPL,2014,3,Arsenal,38,71,36,75,69.80259099999999,35.718825,8.660595632132885,13.254168602983585,75.17399999999999,1.9736842105263157
EPL,2015,1,Leicester,38,68,36,81,68.416034,45.019954000000006,10.099470860074694,8.602384307326625,68.9442,2.1315789473684212
EPL,2015,2,Arsenal,38,65,36,71,73.530928,33.8574794,8.785488141260954,12.218744440189766,77.00869999999999,1.868421052631579
EPL,2016,1,Chelsea,38,85,33,93,61.796887,28.6189194,11.768276327802845,11.874985897007225,75.737,2.4473684210526314
EPL,2016,2,Tottenham,38,86,26,86,70.065979,33.7819329,7.804758281218535,12.262617801087472,75.37169999999999,2.263157894736842
EPL,2016,3,Manchester City,38,80,39,78,79.851438,29.607516,6.768413985743822,15.409429868572872,85.41309999999999,2.0526315789473686
EPL,2016,4,Liverpool,38,78,42,76,66.63255800000002,37.6523285,7.601823852170674,16.302048314044153,69.8308,2.0
EPL,2016,5,Arsenal,38,77,44,75,63.58125699999999,47.071277,8.525239872267852,14.459881826754543,62.1195,1.9736842105263157
EPL,2017,1,Manchester City,38,106,27,100,91.43414500000002,24.511917699999994,6.707812141991568,28.897068288668997,91.0893,2.6315789473684212
EPL,2018,1,Manchester City,38,95,23,98,93.720559,25.7326041,8.526163727355268,30.46811259810453,90.6406,2.5789473684210527
EPL,2019,1,Liverpool,38,85,33,99,75.19336999999999,39.5728982,8.607605324816856,24.73821177122079,74.27839999999999,2.6052631578947367
EPL,2019,2,Manchester City,38,102,35,81,102.20523300000004,36.99762900000001,9.314521145844106,25.488707363148187,86.75639999999997,2.1315789473684212
EPL,2019,4,Chelsea,38,69,54,66,76.227787,41.0882999,9.688095674534624,16.61028638744759,73.4872,1.736842105263158
Serie_A,2014,1,Juventus,38,72,24,87,59.077044,29.1296338,8.7150081046635,13.017562914250965,74.78899999999999,2.289473684210526
Serie_A,2014,3,Lazio,38,71,38,69,61.996225,35.871453200000005,7.2826351506046,11.223854818645256,67.79050000000001,1.8157894736842106
Serie_A,2014,4,Fiorentina,38,61,46,64,60.67059499999999,48.502489,7.757887792850762,12.457943089073767,61.11280000000001,1.6842105263157894
Serie_A,2014,5,Napoli,38,70,54,63,64.49538,34.37350100000001,8.836459552417248,13.31287541756252,70.7221,1.6578947368421053
Serie_A,2015,1,Juventus,38,75,20,91,62.98964899999999,22.998835,8.91936331533308,10.944932426499768,78.74340000000002,2.3947368421052633
Serie_A,2015,2,Napoli,38,80,32,82,69.52683,26.6858098,8.067018105467938,16.60372278860702,79.06689999999999,2.1578947368421053
Serie_A,2015,3,Roma,38,83,41,80,64.42869900000001,39.793531,8.229733511347115,13.486776937034085,69.85099999999998,2.1052631578947367
Serie_A,2016,1,Juventus,38,77,27,91,68.736204,23.5971261,9.497837840157576,13.003988643664256,82.86330000000001,2.3947368421052633
Serie_A,2016,2,Roma,38,90,38,87,82.99652500000002,41.07572,8.92483537860806,13.625250801895582,77.39059999999998,2.289473684210526
Serie_A,2016,3,Napoli,38,94,39,86,77.51204599999997,32.160715,10.275383416261326,21.259331174509907,81.2775,2.263157894736842
Serie_A,2016,7,Inter,38,72,49,62,68.760473,44.775497,8.057059638691765,12.188575893237289,67.65110000000001,1.631578947368421
Serie_A,2017,1,Juventus,38,86,24,95,59.228735,28.5773573,11.53403221013978,15.573204496158086,73.5058,2.5
Serie_A,2017,2,Napoli,38,77,29,91,70.45362529999998,25.2661629,9.888521338139148,26.967791819482343,82.23240000000001,2.3947368421052633
Serie_A,2017,3,Roma,38,61,28,77,65.626284,38.46324600000001,9.044311925478082,14.654917217960934,69.2438,2.026315789473684
Serie_A,2017,4,Inter,38,66,30,72,60.834829000000006,37.332309,10.530280126849808,15.677608215347652,65.25389999999999,1.894736842105263
Serie_A,2017,5,Lazio,38,89,49,72,66.506443,42.568795,12.115472674823922,12.723401454603229,66.0488,1.894736842105263
Serie_A,2017,7,Atalanta,38,57,39,60,64.29462299999999,36.504537,9.078096280069458,11.953860600059112,69.876,1.5789473684210527
Serie_A,2018,1,Juventus,38,70,30,90,64.52717999999999,35.032053100000006,10.160174461892913,13.964740610341346,70.92990000000002,2.3684210526315788
Serie_A,2018,2,Napoli,38,74,36,79,68.237943,36.50233649999999,10.724236356146054,18.070187315701816,74.4511,2.0789473684210527
Serie_A,2018,3,Atalanta,38,77,46,69,74.42529300000001,41.849468,8.926904684413559,13.724031476548811,71.88260000000001,1.8157894736842106
Serie_A,2018,4,Inter,38,57,33,69,66.47384799999999,38.401341,9.183001992827656,17.12403833156835,71.74619999999999,1.8157894736842106
Serie_A,2018,6,Roma,38,66,48,66,68.394175,52.793821000000015,13.657052678286998,13.705715562099586,62.1298,1.736842105263158
Serie_A,2019,1,Juventus,38,76,43,83,73.77452799999999,40.996703,9.041600045606431,15.61171237041326,71.23939999999999,2.1842105263157894
Serie_A,2019,2,Inter,38,81,36,82,73.95315099999999,39.357559,9.199277767707027,16.556413233181267,75.3771,2.1578947368421053
Serie_A,2019,4,Atalanta,38,98,48,78,86.17474399999996,41.72679,8.02085203600679,13.795979813838178,76.01250000000002,2.0526315789473686
