League,pts,xG,xGA,ppda_coef,oppda_coef,deep,deep_allowed,Offensive W_Average,Defensive W_Average
La_liga,52.225,50.59032458916669,50.59032458916666,9.65451632761676,9.654516327616763,214.0,214.0,89.3792751470292,87.3324847339517
EPL,52.45,50.762646511666645,50.7626465116667,11.847171249958844,11.847171249958846,249.56666666666666,249.56666666666666,100.6749837427397,98.72920997965433
Bundesliga,46.824074074074076,48.699396647314806,48.69939664731481,11.170879308850559,11.17087930885057,202.9351851851852,202.9351851851852,85.58800387405985,83.71157800713665
Serie_A,52.125,51.0262129275,51.02621292749999,11.05468377227109,11.05087109603476,227.45,227.45,93.96046676044277,91.96074649981043
Ligue_1,49.75833333333333,45.14144506166668,45.14144506166666,11.028937712616555,11.032683550970827,171.99166666666667,171.99166666666667,74.66838470590415,72.96388308995792
