League,pts,xG,xGA,ppda_coef,oppda_coef,deep,deep_allowed,Offensive W_Average,Defensive W_Average
La_liga_topTeam,90.83333333333333,92.228056,36.50566296666667,8.137579044839276,14.943445190684022,445.1666666666667,156.0,177.08701996120982,65.88529874387187
EPL_topTeam,93.0,76.53405249999999,32.496772916666664,9.441892627273633,19.666713789515487,435.1666666666667,162.0,167.35079678181842,67.49872330352132
Bundesliga_topTeam,82.16666666666667,79.79952586666668,27.38288061833333,7.330244560594568,23.8391135751599,398.5,107.33333333333333,157.29234778014865,50.3048863198813
Serie_A_topTeam,89.5,64.72222333333333,30.055284716666666,9.644669329632213,13.686023576887948,287.6666666666667,139.66666666666666,117.83616783240805,58.02792095973305
Ligue_1_topTeam,87.66666666666667,83.724212,29.80226586666667,7.8149239820442,17.83508441316504,358.1666666666667,121.0,147.07962639551107,53.57143167061618
